Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000161265	U2AF1L4	6.0	6.0	14.0	6.0	4.0	7.0	14.0	8.0	10.0	11.0	4.0	2.0	2.0	10.0	15.0	12.0	2.0	7.0	10.0	9.0	4.0	3.0	6.0	10.0	17.0	6.0	9.0	17.0	9.0	6.0	12.0	8.0
ENSG00000161547	SRSF2	119.0	181.0	352.0	124.0	131.0	175.0	298.0	175.0	211.0	208.0	55.0	80.0	57.0	199.0	408.0	201.0	28.0	230.0	193.0	211.0	73.0	41.0	164.0	199.0	248.0	130.0	169.0	181.0	272.0	164.0	266.0	234.0
ENSG00000162385	MAGOH	39.0	53.0	82.0	32.0	54.0	43.0	77.0	30.0	60.0	37.0	16.0	40.0	35.0	51.0	86.0	54.0	8.0	75.0	58.0	46.0	23.0	9.0	46.0	51.0	60.0	39.0	42.0	58.0	81.0	41.0	65.0	37.0
ENSG00000163510	CWC22	29.0	33.0	28.0	35.0	33.0	24.0	72.0	39.0	49.0	53.0	13.0	28.0	24.0	43.0	68.0	70.0	5.0	48.0	44.0	31.0	17.0	8.0	30.0	55.0	49.0	28.0	34.0	70.0	48.0	48.0	51.0	37.0
ENSG00000163714	U2SURP	31.0	37.0	87.0	41.0	37.0	30.0	103.0	34.0	62.0	52.0	14.0	23.0	15.0	50.0	80.0	101.0	7.0	49.0	58.0	42.0	21.0	8.0	37.0	45.0	60.0	34.0	60.0	71.0	43.0	43.0	55.0	51.0
ENSG00000163882	POLR2H	22.0	34.0	23.0	18.0	38.0	49.0	50.0	23.0	51.0	36.0	10.0	24.0	14.0	36.0	38.0	42.0	7.0	47.0	38.0	47.0	17.0	5.0	52.0	37.0	40.0	34.0	32.0	50.0	29.0	29.0	37.0	35.0
ENSG00000164167	LSM6	19.0	10.0	12.0	11.0	12.0	11.0	15.0	7.0	10.0	9.0	3.0	8.0	8.0	16.0	30.0	13.0	1.0	16.0	15.0	9.0	5.0	3.0	12.0	9.0	22.0	12.0	13.0	7.0	21.0	11.0	18.0	8.0
ENSG00000164609	SLU7	31.0	48.0	73.0	81.0	37.0	31.0	59.0	44.0	51.0	52.0	23.0	34.0	18.0	54.0	61.0	54.0	6.0	51.0	45.0	40.0	26.0	15.0	38.0	46.0	63.0	42.0	66.0	92.0	59.0	49.0	48.0	47.0
ENSG00000165119	HNRNPK	292.0	404.0	668.0	330.0	331.0	294.0	571.0	380.0	477.0	494.0	152.0	247.0	200.0	389.0	570.0	520.0	61.0	487.0	414.0	337.0	163.0	77.0	325.0	469.0	449.0	274.0	338.0	570.0	506.0	441.0	533.0	352.0
ENSG00000165494	PCF11	24.0	27.0	49.0	21.0	24.0	26.0	64.0	27.0	41.0	40.0	9.0	17.0	10.0	38.0	65.0	55.0	5.0	29.0	41.0	28.0	15.0	7.0	30.0	51.0	59.0	26.0	42.0	53.0	38.0	32.0	52.0	42.0
