Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000100804	PSMB5	98.0	120.0	38.0	144.0	88.0	77.0	143.0	100.0	186.0	106.0	80.0	85.0	52.0	114.0	78.0	113.0	25.0	170.0	133.0	112.0	56.0	115.0	69.0	193.0	80.0	72.0	109.0	148.0	92.0	109.0	106.0	91.0
ENSG00000100902	PSMA6	7.0	7.0	15.0	8.0	9.0	8.0	8.0	10.0	8.0	9.0	4.0	5.0	5.0	8.0	11.0	7.0	1.0	10.0	8.0	8.0	3.0	4.0	7.0	8.0	8.0	6.0	9.0	9.0	11.0	10.0	11.0	8.0
ENSG00000100911	PSME2	33.0	121.0	58.0	35.0	91.0	200.0	83.0	43.0	97.0	72.0	17.0	44.0	77.0	91.0	169.0	60.0	8.0	82.0	68.0	114.0	52.0	9.0	170.0	84.0	166.0	91.0	49.0	63.0	137.0	89.0	167.0	61.0
ENSG00000101096	NFATC2	6.0	6.0	8.0	6.0	11.0	17.0	16.0	9.0	17.0	74.0	3.0	2.0	6.0	13.0	55.0	8.0	4.0	26.0	6.0	10.0	7.0	2.0	14.0	10.0	42.0	27.0	6.0	14.0	39.0	14.0	28.0	10.0
ENSG00000101182	PSMA7	208.0	164.0	237.0	148.0	160.0	135.0	175.0	145.0	172.0	159.0	88.0	118.0	100.0	202.0	236.0	146.0	27.0	207.0	161.0	134.0	67.0	153.0	136.0	182.0	231.0	124.0	97.0	154.0	210.0	151.0	232.0	125.0
ENSG00000101266	CSNK2A1	8.0	11.0	9.0	17.0	12.0	10.0	19.0	12.0	19.0	14.0	7.0	9.0	4.0	12.0	14.0	17.0	2.0	15.0	14.0	13.0	6.0	6.0	11.0	13.0	12.0	12.0	19.0	19.0	13.0	13.0	12.0	13.0
ENSG00000101335	MYL9	888.0	613.0	3.0	27.0	365.0	262.0	1214.0	1142.0	989.0	699.0	847.0	143.0	32.0	629.0	96.0	525.0	17.0	341.0	1841.0	274.0	88.0	27.0	479.0	3700.0	218.0	88.0	266.0	200.0	34.0	1752.0	553.0	19.0
ENSG00000101843	PSMD10	36.0	70.0	32.0	92.0	50.0	35.0	83.0	53.0	96.0	57.0	18.0	36.0	22.0	59.0	66.0	63.0	5.0	71.0	58.0	49.0	21.0	9.0	42.0	75.0	51.0	35.0	58.0	88.0	62.0	69.0	52.0	43.0
ENSG00000102145	GATA1			118.0			1.0				2.0				2.0				2.0	0.7	0.8				0.6	1.0	1.0	2.0			2.0	0.5	0.7
ENSG00000103035	PSMD7	42.0	49.0	118.0	52.0	48.0	38.0	67.0	69.0	47.0	62.0	42.0	26.0	30.0	41.0	64.0	29.0	8.0	81.0	67.0	62.0	20.0	44.0	39.0	80.0	48.0	33.0	57.0	66.0	71.0	65.0	61.0	57.0
ENSG00000103126	AXIN1	7.0	7.0	22.0	9.0	13.0	15.0	16.0	10.0	15.0	13.0	3.0	7.0	3.0	17.0	16.0	17.0	3.0	12.0	13.0	8.0	7.0	4.0	15.0	10.0	22.0	10.0	17.0	14.0	8.0	10.0	17.0	14.0
ENSG00000104067	TJP1	53.0	29.0		82.0	28.0	22.0	112.0	96.0	64.0	57.0	38.0	33.0	19.0	120.0	19.0	44.0	9.0	127.0	48.0	29.0	18.0	7.0	25.0	98.0	32.0	36.0	104.0	81.0	23.0	42.0	17.0	41.0
ENSG00000105810	CDK6	7.0	22.0	38.0	10.0	22.0	16.0	15.0	11.0	14.0	14.0	5.0	12.0	9.0	17.0	20.0	10.0	4.0	60.0	14.0	22.0	4.0	0.6	22.0	12.0	18.0	22.0	15.0	11.0	16.0	15.0	18.0	20.0
ENSG00000105968	H2AZ2	67.0	83.0	212.0	163.0	91.0	59.0	148.0	66.0	104.0	82.0	65.0	85.0	54.0	107.0	111.0	97.0	11.0	67.0	106.0	80.0	36.0	38.0	71.0	112.0	89.0	69.0	65.0	149.0	99.0	68.0	90.0	72.0
ENSG00000106588	PSMA2	4.0	6.0	5.0	6.0	4.0	4.0	8.0	4.0	5.0	5.0	2.0	5.0	4.0	4.0	6.0	5.0	1.0	5.0	8.0	5.0	1.0	2.0	5.0	4.0	4.0	3.0	6.0	6.0	6.0	5.0	6.0	5.0
ENSG00000107485	GATA3	12.0	16.0	5.0		1.0	2.0	2.0	1.0	1.0	5.0	1.0	35.0	1.0	10.0	22.0	0.7		122.0	15.0	1.0	20.0	0.6	4.0	1.0	23.0	2.0	1.0	9.0	8.0	107.0	12.0	307.0
ENSG00000108344	PSMD3	48.0	54.0	55.0	80.0	60.0	47.0	92.0	57.0	84.0	54.0	32.0	37.0	33.0	70.0	72.0	69.0	12.0	89.0	78.0	61.0	28.0	47.0	49.0	78.0	65.0	44.0	79.0	73.0	78.0	54.0	75.0	74.0
ENSG00000108604	SMARCD2	61.0	63.0	68.0	20.0	68.0	69.0	68.0	100.0	129.0	74.0	17.0	26.0	28.0	100.0	117.0	69.0	29.0	115.0	92.0	76.0	68.0	9.0	71.0	67.0	113.0	67.0	103.0	94.0	117.0	85.0	77.0	160.0
ENSG00000108671	PSMD11	25.0	27.0	48.0	44.0	32.0	27.0	55.0	42.0	40.0	44.0	19.0	22.0	22.0	36.0	43.0	35.0	7.0	56.0	39.0	38.0	14.0	19.0	27.0	53.0	42.0	25.0	52.0	43.0	48.0	34.0	42.0	45.0
ENSG00000109381	ELF2	14.0	16.0	43.0	12.0	13.0	12.0	34.0	17.0	27.0	24.0	8.0	11.0	9.0	24.0	20.0	32.0	3.0	26.0	25.0	16.0	11.0	8.0	13.0	27.0	22.0	14.0	49.0	30.0	16.0	20.0	21.0	23.0
ENSG00000109471	IL2						0.5									1.0					0.9			2.0						1.0		0.7	
ENSG00000110092	CCND1	106.0	66.0	2.0	34.0	52.0	43.0	53.0	196.0	95.0	71.0	76.0	77.0	132.0	258.0	29.0	9.0	42.0	255.0	164.0	38.0	38.0	1.0	35.0	57.0	118.0	102.0	13.0	201.0	43.0	87.0	30.0	266.0
ENSG00000110801	PSMD9	2.0	3.0	8.0	2.0	2.0	3.0	4.0	4.0	4.0	4.0	2.0	2.0	0.9	3.0	4.0	3.0	0.7	3.0	3.0	2.0	2.0	0.8	3.0	4.0	4.0	2.0	3.0	6.0	3.0	4.0	3.0	4.0
ENSG00000111537	IFNG			25.0		0.5	0.5		0.5	0.7	2.0			1.0	3.0	17.0	0.7			1.0	0.5				0.7	2.0	0.9		0.6	2.0	3.0	5.0	
ENSG00000111752	PHC1	7.0	12.0	3.0	12.0	4.0	5.0	34.0	8.0	20.0	15.0	4.0	6.0	0.6	14.0	13.0	26.0	2.0	13.0	17.0	5.0	7.0	2.0	5.0	18.0	14.0	5.0	41.0	20.0	8.0	9.0	17.0	2.0
ENSG00000112576	CCND3	40.0	78.0	132.0	32.0	24.0	30.0	26.0	31.0	47.0	44.0	16.0	13.0	4.0	108.0	133.0	26.0	5.0	74.0	22.0	22.0	21.0	2.0	26.0	32.0	118.0	24.0	14.0	53.0	73.0	35.0	77.0	16.0
ENSG00000113594	LIFR	65.0	42.0		63.0	30.0	13.0	125.0	35.0	140.0	44.0	17.0	43.0	35.0	92.0	49.0	55.0	9.0	106.0	81.0	25.0	31.0	8.0	18.0	98.0	83.0	39.0	33.0	116.0	19.0	21.0	18.0	20.0
ENSG00000114166	KAT2B	40.0	26.0	76.0	85.0	26.0	37.0	51.0	66.0	46.0	46.0	40.0	27.0	37.0	51.0	70.0	94.0	9.0	37.0	43.0	27.0	51.0	30.0	50.0	44.0	62.0	27.0	10.0	55.0	42.0	42.0	53.0	40.0
ENSG00000115233	PSMD14	16.0	22.0	19.0	31.0	21.0	14.0	25.0	25.0	21.0	20.0	11.0	18.0	13.0	15.0	24.0	10.0	3.0	29.0	23.0	23.0	7.0	11.0	14.0	32.0	16.0	14.0	29.0	29.0	32.0	21.0	29.0	18.0
ENSG00000116478	HDAC1	34.0	78.0	81.0	31.0	187.0	112.0	143.0	119.0	142.0	147.0	23.0	56.0	31.0	92.0	286.0	158.0	13.0	131.0	148.0	178.0	45.0	7.0	128.0	99.0	146.0	148.0	91.0	216.0	240.0	130.0	182.0	74.0
